batch_size,threshold,low_rank_mode,compose_mode,device,before_module_name,before_module_params,before_module_shape,before_latency_mean s,before_latency_std s,before_throughput_mean s,before_throughput_std s,before_model_size_mb,after_module_name,after_module_params,after_S_params,after_Vh_params,after_U_params,after_latency_mean s,after_latency_std s,after_throughput_mean s,after_throughput_std s,after_model_size_mb,after_S_shape,after_Vh_shape,after_U_shape
8,0.0001,quantile,one_layer,cuda,Conv2d,9408,"[64, 3, 7, 7]",0.03663519946858287,0.06710338371602119,0.0031675999984145165,0.0006122625804031815,0.036,DecomposedConv2d,9408,0,0,9408,0.030867199879139662,0.010507970502804527,0.008568600052967668,0.00330312505365081,0.036,0,0,"[64, 3, 7, 7]"
8,0.0001,quantile,one_layer,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.06932000014930964,0.09445357199450331,0.00511359996162355,0.003831060201797532,0.141,DecomposedConv2d,36864,0,0,36864,0.07818880006670952,0.023623083607301556,0.010067399917170405,0.0033108946365910112,0.141,0,0,"[64, 64, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.08214560002088547,0.023914473070698026,0.004484400001820177,0.002652075900973558,0.141,DecomposedConv2d,36864,0,0,36864,0.050134400464594366,0.0322607624994009,0.007096399983856827,0.0031800655720928624,0.141,0,0,"[64, 64, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.05926879979670048,0.0319750008842414,0.004374799993820488,0.0015480501768296124,0.141,DecomposedConv2d,36864,0,0,36864,0.045267199911177156,0.014199025791740951,0.0065604000235907735,0.003918925756486789,0.141,0,0,"[64, 64, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,36864,"[64, 64, 3, 3]",0.06270240005105734,0.034971538922411685,0.005386800016276538,0.0018942655481508565,0.141,DecomposedConv2d,36864,0,0,36864,0.04131519999355078,0.0053464804321187494,0.01042100004851818,0.0047505751744299244,0.141,0,0,"[64, 64, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,73728,"[128, 64, 3, 3]",0.06974880024790764,0.08969760821341671,0.004448200005572289,0.003596222166391947,0.281,DecomposedConv2d,73728,0,0,73728,0.04888160023838282,0.025848361426705966,0.004998799972236156,0.003891051998130097,0.281,0,0,"[128, 64, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,147456,"[128, 128, 3, 3]",0.08873120043426752,0.11911977766628352,0.01199079998768866,0.0034062744528274478,0.562,DecomposedConv2d,147456,0,0,147456,0.06898559946566821,0.03412197819927806,0.012421000050380826,0.0036045138151837184,0.562,0,0,"[128, 128, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,8192,"[128, 64, 1, 1]",0.061123200319707395,0.09822159163883348,0.0020610000123269857,0.0018527484412478909,0.031,DecomposedConv2d,8192,0,0,8192,0.036569600086659194,0.016806702968793108,0.002656599989859387,0.002715385494198442,0.031,0,0,"[128, 64, 1, 1]"
8,0.0001,quantile,one_layer,cuda,Conv2d,147456,"[128, 128, 3, 3]",0.0710688006132841,0.029544131579867974,0.013119399733841419,0.004939320323174064,0.562,DecomposedConv2d,147456,0,0,147456,0.06762400027364493,0.038717110456514985,0.013341999892145396,0.0046617389210021265,0.562,0,0,"[128, 128, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,147456,"[128, 128, 3, 3]",0.059879999794065955,0.02594160880904926,0.013709599804133176,0.004456827394631081,0.562,DecomposedConv2d,147456,0,0,147456,0.07217759992927313,0.023111897005548214,0.013581399945542217,0.0039041901596105944,0.562,0,0,"[128, 128, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,294912,"[256, 128, 3, 3]",0.0834943987429142,0.10329098804200813,0.007415200024843216,0.0025625680790167006,1.125,DecomposedConv2d,294912,0,0,294912,0.05711680017411709,0.01664754913026973,0.008988400013186038,0.004004976247454517,1.125,0,0,"[256, 128, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,589824,"[256, 256, 3, 3]",0.1274384018033743,0.13335426636920172,0.03714380003511906,0.0031657131171022885,2.25,DecomposedConv2d,589824,0,0,589824,0.0641232006251812,0.02232214233157035,0.03695559948682785,0.006513993043384282,2.25,0,0,"[256, 256, 3, 3]"
8,0.0001,quantile,one_layer,cuda,Conv2d,32768,"[256, 128, 1, 1]",0.10788319893181324,0.1005712687040367,0.010238999943248927,0.0033031593030378157,0.125,DecomposedConv2d,32768,0,0,32768,0.0510512001812458,0.034291987806706024,0.006879399926401675,0.003970387610243858,0.125,0,0,"[256, 128, 1, 1]"
8,0.0001,quantile,one_layer,cuda,Conv2d,589824,"[256, 256, 3, 3]",0.07020000014454127,0.030064568813464834,0.034529199730604886,0.003924912357112562,2.25,DecomposedConv2d,589824,0,0,589824,0.14178080074489116,0.16695172750806347,0.03673479976132512,0.004204968267150082,2.25,0,0,"[256, 256, 3, 3]"
